SQL_Statement,Char_Count,Word Count,Query Type,Tables,Table Count,Aggregate,Join Count,Nestedness Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,242,40,SELECT,"['CARS_DATA', 'CAR_NAMES', 'MODEL_LIST', 'CAR_MAKERS']",4,NO,3,0,1,0,0,0,5
"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",108,19,SELECT,"['HAS_PET', 'STUDENT']",2,YES,1,0,2,1,0,1,1
"SELECT AirportCode ,  AirportName FROM AIRPORTS WHERE city  =  ""Anthony""",72,10,SELECT,['AIRPORTS'],1,NO,0,0,2,0,0,0,1
SELECT count(DISTINCT current_address_id) FROM Students,55,5,SELECT,['Students'],1,YES,0,0,1,1,0,1,0
SELECT T1.City FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport GROUP BY T1.City ORDER BY count(*) DESC LIMIT 1,138,23,SELECT,"['AIRPORTS', 'FLIGHTS']",2,YES,1,0,1,1,0,1,1
SELECT Name FROM teacher ORDER BY Age ASC,41,8,SELECT,['TEACHER'],1,NO,0,0,1,0,0,0,0
"SELECT Airline FROM AIRLINES WHERE Abbreviation  =  ""UAL""",57,8,SELECT,['AIRLINES'],1,NO,0,0,1,0,0,0,1
SELECT avg(age) FROM Dogs,25,4,SELECT,['Dogs'],1,YES,0,0,1,1,0,1,0
"SELECT min(Number_products) ,  max(Number_products) FROM shop",61,6,SELECT,['shop'],1,YES,0,0,2,2,0,2,0
"SELECT DISTINCT T1.first_name ,  T1.middle_name ,  T1.last_name FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id JOIN Degree_Programs AS T3 ON T2.degree_program_id  =  T3.degree_program_id WHERE T3.degree_summary_name  =  'Bachelor'",267,31,SELECT,"['DEGREE_PROGRAMS', 'STUDENT_ENROLMENT', 'STUDENTS']",3,NO,2,0,3,0,0,0,3
"SELECT T1.Name ,  T2.Orchestra FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID",111,16,SELECT,"['ORCHESTRA', 'CONDUCTOR']",2,NO,1,0,2,0,0,0,1
"SELECT count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",109,18,SELECT,"['HIGHSCHOOLER', 'FRIEND']",2,YES,1,0,1,1,0,1,2
SELECT  T1.course_name FROM Courses AS T1 JOIN Student_Enrolment_Courses AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name ORDER BY count(*) DESC LIMIT 1,166,23,SELECT,"['COURSES', 'STUDENT_ENROLMENT_COURSES']",2,YES,1,0,1,1,0,1,1
"SELECT Name FROM country ORDER BY Population DESC LIMIT 3\tworld_1', 'SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id INTERSECT SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.liked_id  =  T2.id",244,39,SELECT,"['LIKES', 'HIGHSCHOOLER', 'COUNTRY', 'FRIEND']",4,NO,2,0,1,0,0,0,2
"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",202,31,SELECT,"['AIRPORTS', 'FLIGHTS', 'AIRLINES']",3,YES,2,0,1,1,0,1,4
"SELECT DISTINCT COUNT ( DISTINCT t4.citingpaperid )  ,  t3.venueid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN cite AS t4 ON t3.paperid  =  t4.citedpaperid WHERE t1.keyphrasename  =  ""NLP"" GROUP BY t3.venueid ORDER BY COUNT ( DISTINCT t4.citingpaperid ) DESC;",350,52,SELECT,"['KEYPHRASE', 'CITE', 'PAPER', 'PAPERKEYPHRASE']",4,YES,3,0,2,2,0,2,3
SELECT count(*) FROM premises,29,4,SELECT,['premises'],1,YES,0,0,1,1,0,1,0
SELECT T1.artist_name FROM song AS T1 JOIN files AS T2 ON T1.f_id  =  T2.f_id ORDER BY T2.duration LIMIT 1,106,19,SELECT,"['SONG', 'FILES']",2,NO,1,0,1,0,0,0,1
"SELECT Nationality ,  COUNT(*) FROM journalist GROUP BY Nationality",67,9,SELECT,['JOURNALIST'],1,YES,0,0,2,1,0,1,0
"SELECT sportname ,  count(*) FROM Sportsinfo GROUP BY sportname",63,9,SELECT,['SPORTSINFO'],1,YES,0,0,2,1,0,1,0
SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),132,19,SELECT,"['STATION', 'STATUS']",2,YES,0,1,1,2,0,2,2
SELECT T2.Governor FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T1.District  =  1,107,18,SELECT,"['PARTY', 'ELECTION']",2,NO,1,0,1,0,0,0,2
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""instance segmentation"" AND t3.journalid  >=  0;",232,32,SELECT,"['KEYPHRASE', 'PAPER', 'PAPERKEYPHRASE']",3,NO,2,0,1,0,0,0,4
SELECT count(*) FROM inventory WHERE store_id  =  1,51,8,SELECT,['INVENTORY'],1,YES,0,0,1,1,0,1,1
"SELECT name ,  price FROM products",34,6,SELECT,['products'],1,NO,0,0,2,0,0,0,0
SELECT name FROM projects WHERE hours BETWEEN 100 AND 300,57,10,SELECT,['PROJECTS'],1,NO,0,0,1,0,0,0,1
"SELECT product_details FROM products WHERE product_details LIKE ""%Latte%"" OR product_details LIKE ""%Americano%""",111,12,SELECT,['PRODUCTS'],1,NO,0,0,1,0,0,0,2
"SELECT population FROM state WHERE state_name  =  ""california"";",63,8,SELECT,['STATE'],1,NO,0,0,1,0,0,0,1
"SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",74,13,SELECT,['TRYOUT'],1,YES,0,0,2,2,0,2,0
"SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast""",121,18,SELECT,"['APPELLATIONS', 'WINE']",2,NO,0,0,1,0,0,0,2
SELECT T1.title FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.album_id GROUP BY T1.id HAVING count(T1.id)  >  10;,117,21,SELECT,"['TRACKS', 'ALBUMS']",2,YES,1,0,1,1,0,1,2
"SELECT T1.vehicle_id ,  T1.vehicle_details FROM Vehicles AS T1 JOIN Lessons AS T2 ON T1.vehicle_id  =  T2.vehicle_id GROUP BY T1.vehicle_id ORDER BY count(*) DESC LIMIT 1",170,25,SELECT,"['LESSONS', 'VEHICLES']",2,YES,1,0,2,1,0,1,1
"SELECT name ,  height ,  prominence FROM mountain WHERE range != 'Aberdare Range'",81,13,SELECT,['MOUNTAIN'],1,NO,0,0,3,0,0,0,1
SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2,64,11,SELECT,['TECHNICIAN'],1,YES,0,0,1,1,0,1,1
SELECT T1.Aircraft FROM aircraft AS T1 JOIN MATCH AS T2 ON T1.Aircraft_ID  =  T2.Winning_Aircraft GROUP BY T2.Winning_Aircraft HAVING COUNT(*)  >=  2,149,21,SELECT,"['MATCH', 'AIRCRAFT']",2,YES,1,0,1,1,0,1,2
SELECT Name FROM TRACK WHERE Name LIKE '%you%',46,8,SELECT,['TRACK'],1,NO,0,0,1,0,0,0,1
SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_visibility_miles)  <  10,87,11,SELECT,['WEATHER'],1,YES,0,0,1,1,0,1,1
"SELECT T1.problem_description FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE T2.staff_first_name = ""Christop""",146,18,SELECT,"['STAFF', 'PROBLEMS']",2,NO,1,0,1,0,0,0,2
"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";",70,8,SELECT,['HIGHLOW'],1,NO,0,0,1,0,0,0,1
"SELECT T2.document_type_name FROM All_documents AS T1 JOIN Ref_document_types AS T2 ON T1.document_type_code  =  T2.document_type_code WHERE T1.document_name  =  ""How to read a book""",182,22,SELECT,"['ALL_DOCUMENTS', 'REF_DOCUMENT_TYPES']",2,NO,1,0,1,0,0,0,2
SELECT first_name FROM customer WHERE customer_id NOT IN( SELECT customer_id FROM rental WHERE rental_date  >  '2005-08-23 02:06:01' ),134,18,SELECT,"['RENTAL', 'CUSTOMER']",2,NO,0,1,1,0,0,0,2
SELECT city_code FROM STUDENT GROUP BY city_code ORDER BY count(*) DESC LIMIT 1,79,13,SELECT,['STUDENT'],1,YES,0,0,1,1,0,1,0
SELECT DISTINCT order_id FROM orders ORDER BY date_order_placed,63,8,SELECT,['ORDERS'],1,NO,0,0,1,0,0,0,0
"SELECT DISTINCT t1.title FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Indiana University""",175,28,SELECT,"['PAPERS', 'INST', 'AUTHORSHIP']",3,NO,2,0,1,0,0,0,2
"SELECT T1.organisation_id ,  count(*) FROM Projects AS T1 JOIN Project_outcomes AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.organisation_id ORDER BY count(*) DESC LIMIT 1",179,25,SELECT,"['PROJECTS', 'PROJECT_OUTCOMES']",2,YES,1,0,2,2,0,2,1
SELECT Author FROM submission WHERE Submission_ID NOT IN (SELECT Submission_ID FROM acceptance),95,12,SELECT,['SUBMISSION'],1,NO,0,1,1,0,0,0,2
SELECT t3.name FROM record AS t1 JOIN event AS t2 ON t1.event_id  =  t2.id JOIN stadium AS t3 ON t3.id  =  t2.stadium_id GROUP BY t2.stadium_id ORDER BY count(*) DESC LIMIT 1,174,31,SELECT,"['EVENT', 'STADIUM', 'RECORD']",3,YES,2,0,1,1,0,1,2
"SELECT Date_of_ceremony ,  RESULT FROM music_festival",53,6,SELECT,['music_festival'],1,NO,0,0,2,0,0,0,0
"SELECT avg(acc_bal) ,  acc_type FROM customer WHERE credit_score  <  50 GROUP BY acc_type",89,13,SELECT,['CUSTOMER'],1,YES,0,0,2,1,0,1,1
SELECT T2.decor FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T2.decor ORDER BY count(T2.decor) ASC LIMIT 1;,137,23,SELECT,"['RESERVATIONS', 'ROOMS']",2,YES,1,0,1,1,0,1,1
"SELECT order_id ,  count(*) FROM Invoices GROUP BY order_id",59,9,SELECT,['INVOICES'],1,YES,0,0,2,1,0,1,0
SELECT * FROM Assessment_Notes ORDER BY date_of_notes ASC,57,8,SELECT,['ASSESSMENT_NOTES'],1,NO,0,0,1,0,0,0,0
"SELECT customer_id ,  customer_name FROM customers ORDER BY customer_id ASC",75,10,SELECT,['CUSTOMERS'],1,NO,0,0,2,0,0,0,0
SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',56,9,SELECT,['PLAYER'],1,NO,0,0,1,0,0,0,1
"SELECT DISTINCT t2.paperid FROM paperdataset AS t3 JOIN dataset AS t5 ON t3.datasetid  =  t5.datasetid JOIN paperkeyphrase AS t4 ON t4.paperid  =  t3.paperid JOIN paper AS t2 ON t2.paperid  =  t3.paperid JOIN venue AS t6 ON t6.venueid  =  t2.venueid JOIN keyphrase AS t1 ON t4.keyphraseid  =  t1.keyphraseid WHERE t5.datasetname  =  ""Jeopardy! Questions"" AND t1.keyphrasename  =  ""Parsing"" AND t2.year  =  2014 AND t6.venuename  =  ""ACL"";",438,64,SELECT,"['PAPERDATASET', 'PAPERKEYPHRASE', 'KEYPHRASE', 'VENUE', 'DATASET', 'PAPER']",6,NO,5,0,1,0,0,0,9
SELECT Name FROM manager ORDER BY LEVEL ASC,43,8,SELECT,['MANAGER'],1,NO,0,0,1,0,0,0,0
SELECT DISTINCT city FROM addresses,35,5,SELECT,['addresses'],1,NO,0,0,1,0,0,0,0
"SELECT DISTINCT t2.paperid FROM paper AS t2 JOIN journal AS t1 ON t2.journalid  =  t1.journalid WHERE t1.journalname  =  ""Academic radiology"" AND t2.year  =  1995;",163,24,SELECT,"['PAPER', 'JOURNAL']",2,NO,1,0,1,0,0,0,3
"SELECT T2.type ,  count(*) FROM school_bus AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T2.type",116,19,SELECT,"['SCHOOL_BUS', 'SCHOOL']",2,YES,1,0,2,1,0,1,1
SELECT rid FROM routes WHERE dst_apid IN (SELECT apid FROM airports WHERE country  =  'United States') AND src_apid IN (SELECT apid FROM airports WHERE country  =  'United States'),180,28,SELECT,"['AIRPORTS', 'ROUTES']",2,YES,0,1,1,0,0,0,4
SELECT cust_name FROM customer EXCEPT SELECT T1.cust_name FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id WHERE T2.loan_type  =  'Mortgages',157,23,SELECT,"['CUSTOMER', 'LOAN']",2,NO,1,0,1,0,0,0,2
"SELECT city ,  state FROM bank WHERE bname  =  'morningside'",60,10,SELECT,['BANK'],1,NO,0,0,2,0,0,0,1
SELECT catalog_publisher FROM catalogs GROUP BY catalog_publisher ORDER BY count(*) DESC LIMIT 1,96,13,SELECT,['CATALOGS'],1,YES,0,0,1,1,0,1,0
"SELECT T1.id ,  count(*) FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id",101,19,SELECT,"['STADIUM', 'GAME']",2,YES,1,0,2,1,0,1,1
SELECT T2.address FROM staff AS T1 JOIN address AS T2 ON T1.address_id  =  T2.address_id WHERE T1.first_name  =  'Elsa',119,18,SELECT,"['STAFF', 'ADDRESS']",2,NO,1,0,1,0,0,0,2
