SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,gpt4,gpt4_type,gpt3.5,gpt3.5_type,llama3,llama3_type,mistralai,mistralai_type,gemini,gemini_type
"select category from ( SELECT  case when budget = 'Moore' then 'Moore/Sloan' when budget = 'Sloan' then 'Moore/Sloan' else budget end as budget ,  case when Description Like '%Faculty:%' and category_label = 'Salaries' then 'Faculty' when Description Like '%Faculty:%' and category_label = 'Benefits' then 'Faculty' when Description Like '%tudents%' and category_label = 'Salaries' then 'Students' when Description Like '%tudents%' and category_label = 'Benefits' then 'Students' when Description Like '%ost-doc%' and category_label = 'Benefits' then 'Postdoc' when Description Like '%ost-doc%' and category_label = 'Salaries' then 'Postdoc' when Description Like '%Pro Staff%' and category_label = 'Salaries' then 'Research Staff' when Description Like '%Pro Staff%' and category_label = 'Benefits' then 'Research Staff' when Description Like '%Admin Pro%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Admin Pro%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Benefits' then 'Admin Staff' when category_label = 'Consulting' or category_label = 'Equipment' or category_label = 'Supplies' or category_label = 'Contractual Services' or category_label='Recharge' then 'Other' else category_label end as category ,  Description ,  case when len(INV_Date) <2 then NULL when PO_Invoice = 'CR3566' then '9/1/2015' else cast(inv_date as date) end as inv_date ,  cast(case when BAR_Amt is null then Encumbered else BAR_Amt end as float) as amount ,  cd,  PO_Invoice,  Encumbered FROM  [1314howe].[ALL_Operations_Details.csv] ) x group by category","SELECT 
    CASE 
        WHEN budget = 'Moore' THEN 'Moore/Sloan' 
        WHEN budget = 'Sloan' THEN 'Moore/Sloan' 
        WHEN Description LIKE '%Faculty:%' AND category_label = 'Salaries' THEN 'Faculty' 
        WHEN Description LIKE '%Faculty:%' AND category_label = 'Benefits' THEN 'Faculty' 
        WHEN Description LIKE '%tudents%' AND category_label = 'Salaries' THEN 'Students' 
        WHEN Description LIKE '%tudents%' AND category_label = 'Benefits' THEN 'Students' 
        WHEN Description LIKE '%ost-doc%' AND category_label = 'Benefits' THEN 'Postdoc' 
        WHEN Description LIKE '%ost-doc%' AND category_label = 'Salaries' THEN 'Postdoc' 
        WHEN Description LIKE '%Pro Staff%' AND category_label = 'Salaries' THEN 'Research Staff' 
        WHEN Description LIKE '%Pro Staff%' AND category_label = 'Benefits' THEN 'Research Staff' 
        WHEN Description LIKE '%Admin Pro%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Admin Pro%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Classified Staff%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Classified Staff%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Bill%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Bill%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%visiting%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%visiting%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Chance%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Chance%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hyak%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hyak%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hourly%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hourly%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN category_label IN ('Consulting', 'Equipment', 'Supplies', 'Contractual Services', 'Recharge') THEN 'Other' 
        ELSE category_label 
    END AS category
FROM 
    [1314howe].[ALL_Operations_Details.csv]
GROUP BY 
    CASE 
        WHEN budget = 'Moore' THEN 'Moore/Sloan' 
        WHEN budget = 'Sloan' THEN 'Moore/Sloan' 
        WHEN Description LIKE '%Faculty:%' AND category_label = 'Salaries' THEN 'Faculty' 
        WHEN Description LIKE '%Faculty:%' AND category_label = 'Benefits' THEN 'Faculty' 
        WHEN Description LIKE '%tudents%' AND category_label = 'Salaries' THEN 'Students' 
        WHEN Description LIKE '%tudents%' AND category_label = 'Benefits' THEN 'Students' 
        WHEN Description LIKE '%ost-doc%' AND category_label = 'Benefits' THEN 'Postdoc' 
        WHEN Description LIKE '%ost-doc%' AND category_label = 'Salaries' THEN 'Postdoc' 
        WHEN Description LIKE '%Pro Staff%' AND category_label = 'Salaries' THEN 'Research Staff' 
        WHEN Description LIKE '%Pro Staff%' AND category_label = 'Benefits' THEN 'Research Staff' 
        WHEN Description LIKE '%Admin Pro%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Admin Pro%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Classified Staff%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Classified Staff%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Bill%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Bill%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%visiting%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%visiting%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Chance%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Chance%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hyak%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hyak%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hourly%' AND category_label = 'Salaries' THEN 'Admin Staff' 
        WHEN Description LIKE '%Hourly%' AND category_label = 'Benefits' THEN 'Admin Staff' 
        WHEN category_label IN ('Consulting', 'Equipment', 'Supplies', 'Contractual Services', 'Recharge') THEN 'Other' 
        ELSE category_label 
    END",Equivalent,Nested_Join,YES,YES,Nested_Join,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
SELECT  * FROM  [TEST prot pep IDs] WHERE  [peptide sequence] IN (SELECT  [peptide sequence] FROM  [412].[TEST prot pep IDs] GROUP BY  [peptide sequence] HAVING COUNT (*) < 2),"SELECT t1.*
FROM [TEST prot pep IDs] t1
JOIN (
    SELECT [peptide sequence]
    FROM [412].[TEST prot pep IDs]
    GROUP BY [peptide sequence]
    HAVING COUNT(*) < 2
) t2 ON t1.[peptide sequence] = t2.[peptide sequence]",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  distinct n.isolate_id,  s.subject_ids,  n.sub_bag_no,  n.sub_q,  n.date,  n.date_trashed,  n.cp_q,  n.cp_bag_no,  n.date_2,  n.date_trashed_2,  n.to_be_regrown,  n.arc1327e_q,  a.concat_arc1327e_boxes,  l.concat_locations,  ad.concat_arc1327e_dates,  n.notes FROM  [table_nearly_winnowed_subqry.csv] n full outer join [table_isol_concat_subj_id.csv] s on (s.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_box.csv] a on (a.isolate_id = n.isolate_id) full outer join [table_isol_concat_locn.csv] l on (l.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_date.csv] ad on (ad.isolate_id = n.isolate_id)","SELECT  distinct n.isolate_id,  s.subject_ids,   s.subject_idb, n.date_trashed_2,  n.to_be_regrown,  n.arc1327e_q,  a.concat_arc1327e_boxes, n.sub_q,  n.date,  n.date_trashed,  n.cp_q,  n.cp_bag_no,  n.date_2, l.concat_locations,  ad.concat_arc1327e_dates,  n.notes FROM  [table_nearly_winnowed_subqry.csv] n full outer join [table_isol_concat_subj_id.csv] s on (s.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_box.csv] a on (a.isolate_id = n.isolate_id) full outer join [table_isol_concat_locn.csv] l on (l.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_date.csv] ad on (ad.isolate_id = n.isolate_id)",Not Equivalent,Adding_Removing_Select_Column,NO,YES,Adding_Removing_Select_Column,YES,Adding_Removing_Select_Column,YES,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,YES,Explicit_Implicit_Joins
"SELECT  ind from (SELECT  res_type_sh,  pdb_id,  res_index AS ind FROM  [1267].[h2_w_2.csv]) AS R1","SELECT res_index AS ind
FROM [1267].[h2_w_2.csv];",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,NO,Simplification,YES,Simplification
SELECT  * FROM  [521].[FirstLinePoetTitle2.csv] WHERE  Title LIKE 'the%',SELECT  * FROM  [521].[FirstLinePoetTitle2.csv] WHERE  Title LIKE 'thc%',Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change
select * from 1385_queries where sql_code not like '%table_%'  and sql_code like '%AND %'  and sql_code not like '%JOIN %' --where is_public = 0,"SELECT * 
FROM 1385_queries 
WHERE 
    CASE 
        WHEN sql_code NOT LIKE '%table_%' AND sql_code LIKE '%AND %' AND sql_code NOT LIKE '%JOIN %'
        THEN 1 
        ELSE 0 
    END = 1;",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
Select count(*) from ( SELECT * FROM  [1123].[BiGO_betty_plain_methratio_v1.txt] Where CT_count >=5 ) pls,"SELECT COUNT(*)
FROM [1123].[BiGO_betty_plain_methratio_v1.txt]
WHERE CT_count >= 5;",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
"select distinct se.ssgcidid,  se.uniprot,  se.""EC Numbers"",  se.ec_source,  se.annotation,  ecp.pathway_id,  ecp.pathway_name from [ssgcid_EC_map] se join [ec_pathway.csv] ecp on ecp.ec_number = se.""EC Numbers"" where ecp.pathway_name is not null","SELECT DISTINCT 
    se.ssgcidid, 
    se.uniprot, 
    se.""EC Numbers"", 
    se.ec_source, 
    se.annotation, 
    ecp.pathway_id, 
    ecp.pathway_name 
FROM 
    [ssgcid_EC_map] se 
JOIN 
    [ec_pathway.csv] ecp 
ON 
    ecp.ec_number = se.""EC Numbers"" 
WHERE 
    ecp.pathway_name IS NOT NULL",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT 
    Column1 AS seqid, 
    Column4 AS start, 
    Column5 AS [end], 
    'BiGillExonExp' AS Feature, 
    (Column10 / Column12) AS feat_bp 
FROM 
    [1123].[BiGill_ThBAM_cov_exon_2.txt]","SELECT 
    n1.Column1 AS seqid, 
    n1.Column4 AS start, 
    n1.Column5 AS [end], 
    'BiGillExonExp' AS Feature, 
    (n1.Column10 / n1.Column12) AS feat_bp 
FROM 
    [1123].[BiGill_ThBAM_cov_exon_2.txt] n1
WHERE 
    EXISTS (
        SELECT 1 
        FROM [1123].[BiGill_ThBAM_cov_exon_2.txt] n2
        WHERE n2.Column1 IS NOT NULL -- Or any other condition that is always true
    )",Equivalent,Condition_EXISTs,YES,YES,Condition_EXISTs,YES,Condition_EXISTs,YES,Condition_EXISTs,YES,Condition_EXISTs,YES,Condition_EXISTs
SELECT  * FROM [446].[V2_GDGT Data for Francois database.csv] AS gdgt FULL OUTER JOIN [446].[table_V2_Carlson_carbon data_GeoMICS.csv] AS doc ON doc.[Depth..m.] = gdgt.[Depth..m.] AND  doc.Station = gdgt.Station FULL OUTER JOIN  [446].[V2_O2_measurements_final.csv] AS oxy ON doc.[Depth..m.] = oxy.[Depth] AND  doc.Station = oxy.Station,SELECT  * FROM [446].[V2_GDGT Data for Francois database.csv] AS gdgt FULL INNER JOIN [446].[table_V2_Carlson_carbon data_GeoMICS.csv] AS doc ON doc.[Depth..m.] = gdgt.[Depth..m.] AND  doc.Station = gdgt.Station FULL OUTER JOIN  [446].[V2_O2_measurements_final.csv] AS oxy ON doc.[Depth..m.] = oxy.[Depth] AND  doc.Station = oxy.Station,Not Equivalent,Change_Join_Condition,NO,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition
select distinct conf_id from [1143].tbl_organizer order by conf_id,"WITH DistinctConfIDs AS (
    SELECT DISTINCT conf_id
    FROM [1143].tbl_organizer
)
SELECT conf_id
FROM DistinctConfIDs
ORDER BY conf_id;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds.tab] ORDER BY  [UnixTimestamp] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY]  FROM  [1059].[sds.tab] ORDER BY  [UnixTimestamp] ASC",Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,YES,Join_Order,NO,Value_Change,NO,Value_Change
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  [Accession] ,  [BLAST_NR ANNOTATION] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT 
    [Saito_Id],
    NULLIF([Identified Proteins], '#N/A') AS [Identified Proteins],
    [Accession],
    [BLAST_NR ANNOTATION],
    [BLAST NR OR GANISM],
    [BLAST Microbial P col1],
    [BLAST Microbial P col2],
    [Molecular Weight],
    [(G13) S1-15m],
    [(G14)-S1-40m],
    [(G15)-S1-70m],
    [(G10)-S4-45m],
    [(G11)-S4-65m],
    [(G2)-S8-33m],
    [(G3)-S8-70m],
    [(G6)-S6-15m],
    [(G7)-S6-45m]
FROM [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv];",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
SELECT  * FROM  [1123].[scratch_methratio_out] where ratio = 'NA' and C_count > 0,SELECT  * FROM  [1123].[scratch_methratio_out] where ratio = 'NA' and C_count < 0,Not Equivalent,Operators,NO,NO,Operators,NO,Operators,NO,Operators,NO,Operators,NO,Operators
"WITH  SurfaceMetals AS (SELECT  Station, MIN([Depth..m.]) AS MinDepth FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] GROUP BY  Station) SELECT  iron.[Depth..m.],  SurfaceMetals.MinDepth FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein ,  SurfaceMetals WHERE  iron.Station = protein.Station AND  SurfaceMetals.Station = iron.Station --AND  iron.[Depth..m.] = SurfaceMetals.MinDepth","WITH SurfaceMetals AS (
    SELECT Station, MIN([Depth..m.]) AS MinDepth
    FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv]
    GROUP BY Station
)
SELECT 
    iron.[Depth..m.], 
    SurfaceMetals.MinDepth
FROM 
    [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron
INNER JOIN 
    [446].[Iron-related_Proteins] protein ON iron.Station = protein.Station
INNER JOIN 
    SurfaceMetals ON SurfaceMetals.Station = iron.Station;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  term_id ,  doc_id , sum(frequency)  ftd ,  max(dist_doc_cnt.D) D FROM  [1314howe].[reuters_terms.csv] , (SELECT  count (distinct doc_id) D FROM  [1314howe].[reuters_terms.csv] ) dist_doc_cnt Group by term_id ,  doc_id","SELECT 
    term_id,
    doc_id,
    SUM(frequency) as ftd,
    MAX(CASE 
            WHEN subquery.D IS NOT NULL THEN subquery.D
            ELSE 0 -- or any other default value necessary
        END) as D
FROM 
    [1314howe].[reuters_terms.csv],
    (SELECT COUNT(DISTINCT doc_id) as D FROM [1314howe].[reuters_terms.csv]) as subquery
GROUP BY 
    term_id,
    doc_id",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
SELECT  * FROM  [1123].[TJGR_Gill_meth_CDSexpression_gene] Where sum > 10,"WITH FilteredData AS (
    SELECT *
    FROM [1123].[TJGR_Gill_meth_CDSexpression_gene]
    WHERE sum > 10
)
SELECT *
FROM FilteredData;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
SELECT  * FROM  [1314howe].[UW 2010 Salaries] where job_title like '%ASSISTANT %PROF%' order by salary asc,"SELECT *
FROM (
    SELECT *
    FROM [1314howe].[UW 2010 Salaries]
    WHERE job_title LIKE '%ASSISTANT %PROF%'
) AS filtered_salaries
ORDER BY filtered_salaries.salary ASC;",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
"SELECT STUFF(STUFF(REPLICATE('0', 6-LEN(HMS)) + convert(VARCHAR(6), HMS), 3, 0, ':'), 6, 0, ':') as HMS","SELECT STUFF(STUFF(REPLICATE('0', 6-LEN(HMS)) + convert(CHAR(6), HMS), 3, 0, ':'), 6, 0, ':') as HMS",Not Equivalent,Change_Data_Type,NO,NO,Change_Data_Type,NO,Change_Data_Type,YES,Change_Data_Type,YES,Change_Data_Type,YES,Change_Data_Type
"SELECT  * FROM  [1123].[BSoysterGENE] Where ""Sum mRNA"" > 100 and ""Percent mCpG (mRNA)"" > 80","SELECT  * FROM  [1123].[BSoysterGENE] Where ""Sum mRNA"" > 1000 and ""Percent mCpG (mRNA)"" > 80",Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change
SELECT  * FROM  [1123].[table_fish546_module1_blast_table.txt] INNER JOIN  [1123].[table_associations_uni_swisspro_012410.tabular] ON [1123].[table_fish546_module1_blast_table.txt].SPID=[1123].[table_associations_uni_swisspro_012410.tabular].ID,"SELECT *
FROM 
    [1123].[table_fish546_module1_blast_table.txt],
    [1123].[table_associations_uni_swisspro_012410.tabular]
WHERE 
    [1123].[table_fish546_module1_blast_table.txt].SPID = [1123].[table_associations_uni_swisspro_012410.tabular].ID;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count] WHERE  [VLP.ml] <> 'NA' AND  [DAPI..cells.ml.] <> 'NA'","SELECT 
    CASE 
        WHEN [VLP.ml] <> 'NA' THEN [VLP.ml] 
        ELSE NULL 
    END AS VirusCount,
    CASE 
        WHEN [DAPI..cells.ml.] <> 'NA' THEN [DAPI..cells.ml.] 
        ELSE NULL 
    END AS BactCount
FROM 
    [446].[Virus_Count_vs_Bact_Count]
WHERE
    [VLP.ml] <> 'NA' AND [DAPI..cells.ml.] <> 'NA';",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds2.tab] ORDER BY  [DateTime] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds2.tab] ORDER BY  [DateTime] DESC",Not Equivalent,Change_Sorting_Limiting,NO,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting
"WITH  Radius AS (SELECT  6378100 AS Radius) ,  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) SELECT  b.[DateTime] ,  Radius * (SQRT(POWER(b.[LAT]-a.[LAT], 2) + POWER(b.[LON]-a.[LON], 2))) / 360 * 2 * 3.1415926 * Radius AS Euclid FROM  Numbered a ,  Numbered b ,  Radius WHERE  a.[Row] + 1 = b.[Row] ORDER BY  [DateTime] DESC","WITH Radius AS (
    SELECT 6378100 AS Radius
),
Numbered AS (
    SELECT [DateTime], [LAT], [LON], 
           ROW_NUMBER() OVER (ORDER BY [DateTime] ASC) AS [Row]
    FROM [1059].[SDS_VIEW]
)
SELECT 
    b.[DateTime],
    r.Radius * (SQRT(POWER(b.[LAT] - a.[LAT], 2) + POWER(b.[LON] - a.[LON], 2))) / 360 * 2 * 3.1415926 * r.Radius AS Euclid
FROM 
    Numbered a
JOIN 
    Numbered b ON a.[Row] + 1 = b.[Row]
JOIN
    Radius r
ORDER BY 
    b.[DateTime] DESC;",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,CTEs,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  SUM (app_bio_female),  SUM(offers_bio_female) FROM  [813].[table_oser11.csv] WHERE  app_total > 300","SELECT  COUNT (app_bio_female),  SUM(offers_bio_female) FROM  [813].[table_oser11.csv] WHERE  app_total > 300",Not Equivalent,Aggregate_Function,NO,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function,NO,Aggregate_Function
