SQL_Statement,Modified_Statements,Syntax_Error_sqlshare,Is there any missing word,Missing_type_sqlshare,Missing_word_sqlshare,Missing Word(Generalization),Missing_position_sqlshare
"select distinct se.ssgcidid,  se.uniprot,  se.""EC Numbers"",  se.ec_source,  se.annotation,  ecp.pathway_id,  ecp.pathway_name from [ssgcid_EC_map] se join [ec_pathway.csv] ecp on ecp.ec_number = se.""EC Numbers"" where ecp.pathway_name is not null","select distinct se.ssgcidid,  se.uniprot,  se.""EC Numbers"",  se.ec_source,  se.annotation,  ecp.pathway_id,  ecp.pathway_name from [ssgcid_EC_map] se join [ec_pathway.csv] ecp  ecp.ec_number = se.""EC Numbers"" where ecp.pathway_name is not null",YES,YES,Missing Keyword,on,ON,23
"SELECT 
    Column1 AS seqid, 
    Column4 AS start, 
    Column5 AS [end], 
    'BiGillExonExp' AS Feature, 
    (Column10 / Column12) AS feat_bp 
FROM 
    [1123].[BiGill_ThBAM_cov_exon_2.txt]","SELECT 
    Column1 AS seqid, 
    Column4 AS , 
    Column5 AS [end], 
    'BiGillExonExp' AS Feature, 
    (Column10 / Column12) AS feat_bp 
FROM 
    [1123].[BiGill_ThBAM_cov_exon_2.txt]",YES,YES,Missing Alias,start,Alias,7
SELECT  * FROM [446].[V2_GDGT Data for Francois database.csv] AS gdgt FULL OUTER JOIN [446].[table_V2_Carlson_carbon data_GeoMICS.csv] AS doc ON doc.[Depth..m.] = gdgt.[Depth..m.] AND  doc.Station = gdgt.Station FULL OUTER JOIN  [446].[V2_O2_measurements_final.csv] AS oxy ON doc.[Depth..m.] = oxy.[Depth] AND  doc.Station = oxy.Station,SELECT   FROM [446].[V2_GDGT Data for Francois database.csv] AS gdgt FULL OUTER JOIN [446].[table_V2_Carlson_carbon data_GeoMICS.csv] AS doc ON doc.[Depth..m.] = gdgt.[Depth..m.] AND  doc.Station = gdgt.Station FULL OUTER JOIN  [446].[V2_O2_measurements_final.csv] AS oxy ON doc.[Depth..m.] = oxy.[Depth] AND  doc.Station = oxy.Station,YES,YES,Missing Column,Station,Column Name,23
select distinct conf_id from [1143].tbl_organizer order by conf_id,select distinct conf_id from [1143].tbl_organizer order by conf_id,NO,NO,N/A,N/A,N/A,0
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds.tab] ORDER BY  [UnixTimestamp] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) AS [UnixTimestamp] ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR]  AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds.tab] ORDER BY  [UnixTimestamp] ASC",YES,YES,Missing Keyword,END,END,65
"SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  [Accession] ,  [BLAST_NR ANNOTATION] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  [Saito_Id] ,  CASE WHEN [Identified Proteins] = '#N/A' THEN NULL ELSE [Identified Proteins] END AS [Identified Proteins] ,  [Accession] ,  [BLAST_NR ANNOTATION] ,  [BLAST NR OR GANISM] ,  [BLAST Microbial P col1] ,  [BLAST Microbial P col2] ,  [Molecular Weight] ,  [(G13) S1-15m] ,  [(G14)-S1-40m] ,  [(G15)-S1-70m] ,  [(G10)-S4-45m] ,  [(G11)-S4-65m] ,  [(G2)-S8-33m] ,  [(G3)-S8-70m] ,  [(G6)-S6-15m] ,  [(G7)-S6-45m] FROM  [446].",YES,YES,Missing Table,[table_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv],Table Name,62
SELECT  * FROM  [1123].[scratch_methratio_out] where ratio = 'NA' and C_count > 0,SELECT  * FROM  [1123].[scratch_methratio_out] where ratio = 'NA'  C_count > 0,YES,YES,Missing Keyword,AND,AND,9
"WITH  SurfaceMetals AS (SELECT  Station, MIN([Depth..m.]) AS MinDepth FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] GROUP BY  Station) SELECT  iron.[Depth..m.],  SurfaceMetals.MinDepth FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein ,  SurfaceMetals WHERE  iron.Station = protein.Station AND  SurfaceMetals.Station = iron.Station --AND  iron.[Depth..m.] = SurfaceMetals.MinDepth","  SurfaceMetals AS (SELECT  Station, MIN([Depth..m.]) AS MinDepth FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] GROUP BY  Station) SELECT  iron.[Depth..m.],  SurfaceMetals.MinDepth FROM [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] iron ,  [446].[Iron-related_Proteins] protein ,  SurfaceMetals WHERE  iron.Station = protein.Station AND  SurfaceMetals.Station = iron.Station --AND  iron.[Depth..m.] = SurfaceMetals.MinDepth",YES,YES,Missing Keyword,WITH,WITH,1
"SELECT  term_id ,  doc_id , sum(frequency)  ftd ,  max(dist_doc_cnt.D) D FROM  [1314howe].[reuters_terms.csv] , (SELECT  count (distinct doc_id) D FROM  [1314howe].[reuters_terms.csv] ) dist_doc_cnt Group by term_id ,  doc_id","SELECT  term_id ,   , sum(frequency)  ftd ,  max(dist_doc_cnt.D) D FROM  [1314howe].[reuters_terms.csv] , (SELECT  count (distinct doc_id) D FROM  [1314howe].[reuters_terms.csv] ) dist_doc_cnt Group by term_id ,  doc_id",YES,YES,Missing Column,doc_id,Column Name,4
SELECT  * FROM  [1123].[TJGR_Gill_meth_CDSexpression_gene] Where sum > 10,SELECT  * FROM  [1123].[TJGR_Gill_meth_CDSexpression_gene] Where  > 10,YES,YES,Missing Column,sum,Column Name,7
SELECT  * FROM  [1314howe].[UW 2010 Salaries] where job_title like '%ASSISTANT %PROF%' order by salary asc,"SELECT  * FROM  [1314howe].[UW 2010 Salaries] where job_title like '%ASSISTANT %PROF%' order by salary ",NO,NO,N/A,N/A,N/A,0
"SELECT STUFF(STUFF(REPLICATE('0', 6-LEN(HMS)) + convert(VARCHAR(6), HMS), 3, 0, ':'), 6, 0, ':') as HMS","SELECT STUFF(STUFF(REPLICATE('0', 6-LEN(HMS)) + convert(VARCHAR(6), HMS), 3, 0, ':'), 6, 0, ':') as ",YES,YES,Missing Alias,HMS,Alias,27
"SELECT  * FROM  [1123].[BSoysterGENE] Where ""Sum mRNA"" > 100 and ""Percent mCpG (mRNA)"" > 80","SELECT  * FROM  [1123]. Where ""Sum mRNA"" > 100 and ""Percent mCpG (mRNA)"" > 80",YES,YES,Missing Table,[BSoysterGENE],Table Name,4
SELECT  * FROM  [1123].[table_fish546_module1_blast_table.txt] INNER JOIN  [1123].[table_associations_uni_swisspro_012410.tabular] ON [1123].[table_fish546_module1_blast_table.txt].SPID=[1123].[table_associations_uni_swisspro_012410.tabular].ID,SELECT  * FROM  [1123].[table_fish546_module1_blast_table.txt] INNER   [1123].[table_associations_uni_swisspro_012410.tabular] ON [1123].[table_fish546_module1_blast_table.txt].SPID=[1123].[table_associations_uni_swisspro_012410.tabular].ID,YES,YES,Missing Keyword,JOIN,JOIN,6
"SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count] WHERE  [VLP.ml] <> 'NA' AND  [DAPI..cells.ml.] <> 'NA'","SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count] WHERE  [VLP.ml] <> 'NA' AND  [DAPI..cells.ml.] <> 'NA'",NO,NO,N/A,N/A,N/A,0
"SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds2.tab] ORDER BY  [DateTime] ASC","SELECT  CAST([Time] AS Datetime) AS [DateTime] ,  DATEDIFF(SECOND, {d '1970-01-01'},  CAST([Time] AS Datetime)) ,  [LAT] ,  [LON] ,  CASE WHEN [CONDUCTIVITY] = 'NA' THEN NULL ELSE [CONDUCTIVITY] END AS [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  CASE WHEN [MACHINE.TEMP] = 'NA' THEN NULL ELSE [MACHINE.TEMP] END AS [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  CASE WHEN [position] = 'NA' THEN NULL ELSE [position] END AS [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  CASE WHEN [PAR] = 'NA' THEN NULL ELSE [PAR] END AS [PAR] ,  [time] ,  [day] ,  [file] ,  [DMY] ,  [HMS] FROM  [1059].[sds2.tab] ORDER BY  [DateTime] ASC",NO,NO,N/A,N/A,N/A,0
"WITH  Radius AS (SELECT  6378100 AS Radius) ,  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) SELECT  b.[DateTime] ,  Radius * (SQRT(POWER(b.[LAT]-a.[LAT], 2) + POWER(b.[LON]-a.[LON], 2))) / 360 * 2 * 3.1415926 * Radius AS Euclid FROM  Numbered a ,  Numbered b ,  Radius WHERE  a.[Row] + 1 = b.[Row] ORDER BY  [DateTime] DESC","WITH  Radius AS (SELECT  6378100 AS Radius) ,  Numbered AS (SELECT  [DateTime],  [LAT],  [LON],  ROW_NUMBER() OVER (ORDER BY  [DateTime] ASC) AS [Row] FROM  [1059].[SDS_VIEW]) SELECT  b.[DateTime] ,  Radius * (SQRT(POWER(b.[LAT]-a.[LAT], 2) + POWER(b.[LON]-a.[LON], 2))) / 360 * 2 * 3.1415926 * Radius AS Euclid FROM  Numbered a ,  Numbered b ,  Radius WHERE  a.[Row] + 1 = b.[Row]  BY  [DateTime] DESC",YES,YES,Missing Keyword,ORDER,ORDER,27
"SELECT  SUM (app_bio_female),  SUM(offers_bio_female) FROM  [813].[table_oser11.csv] WHERE  app_total > 300","SELECT  SUM (app_bio_female),  SUM(offers_bio_female) FROM  [813]. WHERE  app_total > 300",YES,YES,Missing Table,[table_oser11.csv],Table Name,6
"SELECT  *, 801 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_801bacteria_annotation.csv] UNION ALL SELECT  *, 802 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_802bacteria_annotation.csv] UNION ALL SELECT  *, 803 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_803bacteria_annotation.csv]","SELECT  *, 801 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_801bacteria_annotation.csv]  ALL SELECT  *, 802 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_802bacteria_annotation.csv]  ALL SELECT  *, 803 AS FileNumber FROM  [446].[Protein_Groups_N_Pacific_803bacteria_annotation.csv]",YES,YES,Missing Keyword,UNION,UNION,8
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein D2] ,  [tot indep spectra] AS [tot spectra D2] FROM  [412].[D2_trip_files_169_170_171.prot.txt]","SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 -- AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein D2] ,  [tot indep spectra] AS [tot spectra D2] FROM  [412].[D2_trip_files_169_170_171.prot.txt]",NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [446].[uw_salaries_2011.txt] WHERE  Column6 IS NULL,SELECT  * FROM  [446].[uw_salaries_2011.txt] WHERE   IS NULL,YES,YES,Missing Column,Column6,Column Name,6
SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[103B_245_01.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_01.txt].proteinCG245_01 LEFT JOIN  [412].[103B_245_02.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_02.txt].proteinCG245_02 LEFT JOIN  [412].[103B_245_03.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_03.txt].proteinCG245_03,SELECT  * FROM  [412].[all sequenced proteins all treatments.txt] LEFT JOIN  [412].[103B_245_01.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_01.txt].proteinCG245_01 LEFT JOIN  [412].[103B_245_02.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_02.txt].proteinCG245_02 LEFT JOIN  [412].[103B_245_03.txt] ON [412].[all sequenced proteins all treatments.txt].[All Proteins]=[412].[103B_245_03.txt].proteinCG245_03,NO,NO,N/A,N/A,N/A,0
SELECT  COUNT (*) FROM ( SELECT  * FROM  [1123].[_BiGoM3cg5]),SELECT  COUNT () FROM ( SELECT  * FROM  [1123].[_BiGoM3cg5]),YES,YES,Missing Column,*,Column Name,4
SELECT  * FROM  [412].[table_lowco2 spec counts background.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_lowco2 spec counts background.txt].protein=[412].[table_Cg proteome db evalue -10.txt].Protein,SELECT  *   [412].[table_lowco2 spec counts background.txt] INNER JOIN  [412].[table_Cg proteome db evalue -10.txt] ON [412].[table_lowco2 spec counts background.txt].protein=[412].[table_Cg proteome db evalue -10.txt].Protein,YES,YES,Missing Keyword,FROM,FROM,3
"SELECT  * FROM  ( SELECT  sql_query,  sql_query_hash ,  x_col_name,  y_col_name ,  vizlet_type ,  row_number() over (partition by sql_query,  sql_query_hash,  x_col_name,  y_col_name order by score desc) as rnk FROM  [1314howe].[Vizlet Scores] --GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ) x WHERE  x.rnk = 1","SELECT  * FROM  ( SELECT  sql_query,  sql_query_hash ,  x_col_name,  y_col_name ,  vizlet_type ,  row_number() over (partition by sql_query,  sql_query_hash,  x_col_name,  y_col_name order by score desc) as  FROM  [1314howe].[Vizlet Scores] --GROUP BY  sql_query,  sql_query_hash,  x_col_name,  y_col_name ) x WHERE  x.rnk = 1",YES,YES,Missing Alias,rnk,Alias,32
"SELECT  c.DEST,  n.ORIGIN,  c.ARR_TIME,  n.DEP_TIME FROM  [372].[flights09_part] c JOIN [372].[flights09_part] n ON c.TAIL_NUM = n.TAIL_NUM AND  (c.DATE < n.DATE OR  (c.DATE = n.DATE AND  c.ARR_TIME <= n.DEP_TIME)) AND  c.DEST != n.ORIGIN","SELECT  c.DEST,  .ORIGIN,  c.ARR_TIME,  n.DEP_TIME FROM  [372].[flights09_part] c JOIN [372].[flights09_part] n ON c.TAIL_NUM = n.TAIL_NUM AND  (c.DATE < n.DATE OR  (c.DATE = n.DATE AND  c.ARR_TIME <= n.DEP_TIME)) AND  c.DEST != n.ORIGIN",YES,YES,Missing Alias,n,Alias,11
"SELECT  count(*) FROM  ( SELECT  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type,  count(*) as score FROM  [1307].[vizlets_28nov11_16h16m43s_every_displayed_vizlet.csv] vs LEFT OUTER JOIN  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] fs ON (vs.query_hash = fs.sql_query_hash and vs.x_col = fs.x_col_name and vs.y_col = fs.y_col_name and vs.vizlet_type = fs.vizlet_type) WHERE   1=1 GROUP BY  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type --ORDER BY  count(*) desc --  ) z","SELECT  count(*) FROM  ( SELECT  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type,  count(*) as score FROM  [1307].[vizlets_28nov11_16h16m43s_every_displayed_vizlet.csv] vs LEFT OUTER JOIN  [1307].[vizlets_23nov11_10h34m16s_vizlet_and_action_features.csv] fs ON (vs.query_hash = fs.sql_query_hash and vs.x_col = fs.x_col_name and vs.y_col = fs.y_col_name and vs.vizlet_type = fs.vizlet_type) WHERE   val= GROUP BY  fs.sql_query,  vs.query_hash,  vs.x_col,  vs.y_col,  vs.vizlet_type --ORDER BY  count(*) desc --  ) z",YES,YES,Missing Value,1,Value,15
"SELECT  'Tokyo_1' as source ,  cast([TCPhase..Deg.] as float) ,  cast([C1RPh..Deg.] as float)","SELECT  'Tokyo_1' as  ,  cast([TCPhase..Deg.] as float) ,  cast([C1RPh..Deg.] as float)",YES,YES,Missing Alias,source,Alias,4
SELECT  * FROM  [1307].[table_cinq_cents_objets_1312nomiques.csv],SELECT  * FROM  [1307].[table_cinq_cents_objets_1312nomiques.csv],NO,NO,N/A,N/A,N/A,0
SELECT  cast(cast('11:35 PM' as time) as datetime),SELECT  cast(cast('11:35 PM' as time) as datetime),NO,NO,N/A,N/A,N/A,0
"SELECT  M1ID, M1ratio, T1D3ratio, T1D5ratio FROM  [1123].[filt3_M1]m1 join [1123].[filt3_M3]m3 on m1.M1ID=m3.M3ID join [1123].[filt3_T1D3]t1d3 on m1.M1ID=t1d3.T1D3ID join [1123].[filt3_T1D5]t1d5 on m1.M1ID=t1d5.T1D5ID join [1123].[filt3_T3D3]t3d3 on m1.M1ID=t3d3.T3D3ID join [1123].[filt3_T3D5]t3d5 on m1.M1ID=t3d5.T3D5ID where [M1coverage] >= '5' and [M3coverage] >= '5' and [T1D3coverage] >= '5' and [T1D5coverage] >= '5' and [T3D3coverage] >= '5' and [T3D5coverage] >= '5'","SELECT  M1ID, M1ratio, , T1D5ratio FROM  [1123].[filt3_M1]m1 join [1123].[filt3_M3]m3 on m1.M1ID=m3.M3ID join [1123].[filt3_T1D3]t1d3 on m1.M1ID=t1d3.T1D3ID join [1123].[filt3_T1D5]t1d5 on m1.M1ID=t1d5.T1D5ID join [1123].[filt3_T3D3]t3d3 on m1.M1ID=t3d3.T3D3ID join [1123].[filt3_T3D5]t3d5 on m1.M1ID=t3d5.T3D5ID where [M1coverage] >= '5' and [M3coverage] >= '5' and [T1D3coverage] >= '5' and [T1D5coverage] >= '5' and [T3D3coverage] >= '5' and [T3D5coverage] >= '5'",YES,YES,Missing Column,T1D3ratio,Column Name,4
SELECT  * FROM  [1314howe].[UW highest paid employee by department] where middle ='T',SELECT  * FROM  [1314howe].[UW highest paid employee by department] where  ='T',YES,YES,Missing Column,middle,Column Name,12
"SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.2/0.7)*0.7,  0.49/0.7 ,  species FROM  [690].[All3col]","SELECT  floor(latitude/0.7)*0.7 as latbin ,  floor(longitude/0.7)*0.7 as lonbin ,  floor(0.2/0.7)*0.7,  0.49/0.7 ,  species FROM  [690].[All3col]",NO,NO,N/A,N/A,N/A,0
"SELECT  CAS001, CASE WHEN CAS001=2 THEN 'NM' WHEN CAS001=1 THEN 'M' WHEN CAS001=0 THEN 'U' END AS CAS001MethStat FROM  [412].[summed presence absence fragment peaks]","SELECT  CAS001, CASE  CAS001=2 THEN 'NM' WHEN CAS001=1 THEN 'M' WHEN CAS001=0 THEN 'U' END AS CAS001MethStat FROM  [412].[summed presence absence fragment peaks]",YES,YES,Missing Keyword,WHEN,WHEN,4
select idx from Frame1 where idx = 1 union select idx from Frame2 where idx= 21,select idx from Frame1 where idx = 1  select idx from Frame2 where idx= 21,YES,YES,Missing Keyword,union,UNION,9
SELECT  * FROM  [876].[table_NUTR_DEF_1.csv],SELECT  *   [876].[table_NUTR_DEF_1.csv],YES,YES,Missing Keyword,FROM,FROM,3
"SELECT [protein] AS [protein63], [protein probability] AS [protein probability63], [percent coverage] AS [percent coverage63], [tot indep spectra] AS [tot indep spectra63], [peptides] AS [peptides63] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea63.prot.xls] WHERE  [tot indep spectra]>1","SELECT [protein] AS  [protein63], [protein probability] AS [protein probability63], [percent coverage] AS [percent coverage63], [tot indep spectra] AS [tot indep spectra63], [peptides] AS [peptides63] FROM  [412].[table_Prophet_2014_Sept_08_BeringSea63.prot.xls] WHERE  [tot indep spectra]>1",NO,NO,N/A,N/A,N/A,0
SELECT  * FROM  [1002].[Tokyo_2_merged_data_time_binned],SELECT  * FROM  [1002].,YES,YES,Missing Table,Tokyo_2_merged_data_time_binned,Table Name,4
"select distinct x.followee,  y.follower from twittermat x,  twittermat y where x.follower=y.followee","select distinct x.followee,  y.follower from twittermat x,  twittermat y where x.follower=y.followee",NO,NO,N/A,N/A,N/A,0
"SELECT DISTINCT T.day as Day,  T.[file] as File_Id, (CAST(T.opp as FLOAT))/(CAST(T.evt as FLOAT)) as opp_evt, (1000*(-9*POWER(10, -5)*POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 4) + 0.0066 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 3) - 0.173 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 2) + 2.5013 * CAST(D.[STREAM.PRESSURE] as FLOAT) + 2.1059) * 0.1738) as flow_rate FROM  [1057].[Thompson9_stats.tab] as T, [1057].[Thompson9_sds.tab] as D WHERE  T.day = D.day AND  T.[file] = D.[file] AND  ISNUMERIC(D.[STREAM.PRESSURE])<>0","SELECT DISTINCT T.day as Day,  T.[file] as File_Id, (CAST(T.opp as FLOAT))/(CAST(T.evt as FLOAT)) as opp_evt, (*(-9*POWER(10, -5)*POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 4) + 0.0066 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 3) - 0.173 * POWER(CAST(D.[STREAM.PRESSURE] as FLOAT), 2) + 2.5013 * CAST(D.[STREAM.PRESSURE] as FLOAT) + 2.1059) * 0.1738) as flow_rate FROM  [1057].[Thompson9_stats.tab] as T, [1057].[Thompson9_sds.tab] as D WHERE  T.day = D.day AND  T.[file] = D.[file] AND  ISNUMERIC(D.[STREAM.PRESSURE])<>0",YES,YES,Missing Value,4,Value,20
SELECT  * FROM  [412].[rpom peptide and protein presence summed] WHERE  [protein presence]>36,SELECT  * FROM  [412].[rpom peptide and protein presence summed] WHERE  [protein presence]>,YES,YES,Missing Value,10,Value,15
SELECT  COUNT(*) FROM  [446].[1341ls_and_nutrients_for_odv],SELECT  COUNT() FROM  [446].[1341ls_and_nutrients_for_odv],YES,YES,Missing Column,*,Column Name,4
"select ra.PersonalName, ap.PMID from [Research-Affiliation] ra join Author_PMID ap on (ap.PersonalName = ra.PersonalName)","select ra.PersonalName, ap.PMID from  ra join Author_PMID ap on (ap.PersonalName = ra.PersonalName)",YES,YES,Missing Table,[Research-Affiliation],Table Name,5
"SELECT  first.s,  second.s,  third.s FROM  [354].[small_graph] first ,  [354].[small_graph] second ,  [354].[small_graph] third WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s","  first.s,  second.s,  third.s FROM  [354].[small_graph] first ,  [354].[small_graph] second ,  [354].[small_graph] third WHERE  first.d = second.s AND  second.d = third.s AND  third.d = first.s AND  first.s < second.s AND  second.s < third.s",YES,YES,Missing Keyword,SELECT,SELECT,1
"select count(distinct substring([protein code-1],  7,  7)) from [xstal_tracker.csv] where [protein code-1] like 'Myth%'  group by  [data set?], [diffraction?], [crystals?]","select count(distinct substring([protein code-1],  7,  7)) from [xstal_tracker.csv] where [protein code-1] like 'Myth%' --  group by  , [diffraction?], [crystals?]",YES,YES,Missing Table,[data set?],Table Name,16
SELECT  * FROM  [446].[V2_LineP_nutrients_formatted.csv] Where station = 'P1',"  SELECT * FROM  [446].[V2_LineP_nutrients_formatted.csv] Where station = ",YES,YES,Missing Value,P1,Value,8
"select u.[ec numbers] as enzyme,  a.* from report_anacor a join [uniprot_enzyme_map.csv] u on (u.accession = a.uniprot)","select u.[ec numbers] as enzyme,  a.* from report_anacor a join [uniprot_enzyme_map.csv] u (u.accession = a.uniprot)",YES,YES,Missing Keyword,on,ON,13
"SELECT   survey_institution, app_bio_female FROM  [813].[oser11.csv]","SELECT   , app_bio_female FROM  [813].[oser11.csv]",YES,YES,Missing Column,survey_institution,Column Name,2
