SQL_Statement,Question,GPT4,GPT4 Equivalence,GPT3.5,GPT3.5 Equivalence,Llama 3,Llama3 Equivalence,MistralAI,Mistral Equivalence,Gemini,Gemini Equivalence
SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,how many cars were produced in 1980?,The query counts the number of cars from the year 1980 in the CARS_DATA table,ok,The query counts the number of cars from the year 1980.,ok,This SQL query counts the number of cars from the year 1980.,ok,This query counts the number of cars in the `CARS_DATA` table that were made in the year 1980.,ok,Counts the number of cars in the CARS_DATA table produced in the year 1980.,ok
SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) DESC LIMIT 1,What is the code of airport that has the highest number of flights?,"The query identifies the airport code with the highest number of flights, either as a destination or source, from the AIRPORTS and FLIGHTS tables",ok,"The query retrieves the airport code with the highest number of flights, either as a source or destination.",ok,This SQL query retrieves the airport code that is the destination or source for the most flights.,ok,"This query retrieves the airport code of the airport with the highest number of flights, either as a destination or source.",ok,Finds the airport code with the highest number of flights departing from or arriving at that airport.,ok
SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),Find the minimum grade of students who have no friends.,The query finds the lowest grade among high school students who are not listed as friends in the Friend table,ok,The query retrieves the minimum grade of high schoolers who do not have any friends.,ok,This SQL query retrieves the minimum grade of students who do not have friends.,ok,This query retrieves the minimum grade of high school students who do not have any friends.,ok,Finds the minimum grade among students who have no friends,ok
"SELECT avg(LifeExpectancy) FROM country WHERE Name NOT IN (SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" AND T2.IsOfficial  =  ""T"")",What is average life expectancy in the countries where English is not the official language?,The query calculates the average life expectancy for countries where English is not an official language,ok,The query retrieves the average life expectancy of countries where English is not an official language.,ok,This SQL query calculates the average life expectancy of countries where English is not an official language.,ok,This query calculates the average life expectancy of countries where English is not an official language.,ok,This query calculates the average life expectancy for countries that do not have English as an official language,ok
"SELECT sum(Population) ,  max(GNP) FROM country WHERE Continent  =  ""Asia""",What is the total population and maximum GNP in Asia?,The query calculates the total population and the highest GNP of Asian countries from the country table,ok,The query retrieves the total population and the maximum GNP of countries in Asia.,ok,This SQL query calculates the total population and maximum GNP of countries in Asia.,ok,This query calculates the total population and the maximum GNP of countries in Asia.,ok,Calculates the total population and the highest GNP for all Asian countries.,ok
SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',"Find the id of the pet owned by student whose last name is ""Smith"".","The query retrieves the pet IDs for pets owned by students with the last name 'Smith', using a join between the student and has_pet tables",ok,The query retrieves the pet IDs of pets owned by students with the last name 'Smith'.,ok,This SQL query retrieves the pet IDs of students with the last name 'Smith'.,ok,This query retrieves the `petid` of pets owned by students with the last name 'Smith'.,ok,Retrieve the pet IDs for all pets owned by students with the last name 'Smith'.,ok
SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,What is the money rank of the poker player with the highest earnings?,The query retrieves the highest money rank from the poker_player table based on earnings,ok,The query retrieves the money rank of the poker player with the highest earnings.,ok,This SQL query retrieves the money rank of the poker player with the highest earnings.,ok,This query retrieves the `Money_Rank` of the poker player with the highest earnings.,ok,Retrieves the Money Rank of the poker player with the highest earnings.,ok
"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1",find the names of loser and winner who played in the match with greatest number of minutes.,The query retrieves the names of the winner and loser from the longest match in the matches table,ok,The query retrieves the names of the winner and loser from the match with the longest duration.,ok,This SQL query retrieves the names of the winner and loser of the match with the most minutes played.,ok,The query retrieves the names of the winner and loser from the match with the longest duration (highest number of minutes).,ok,Retrieves the names of the winner and loser of the longest match.,ok
SELECT course_description FROM Courses WHERE course_name  =  'math',How is the math course described?,The query retrieves the description of the course named 'math' from the Courses table,ok,The query retrieves the description of the course named 'math'.,ok,This SQL query retrieves the course description of the 'ath' course.,the course name is spelled wrong,This query retrieves the course description for the course named 'math' from the `Courses` table.,ok,Retrieves the course description for the course named 'math'.,ok
"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;",What is the maximum horsepower and the make of the car models with 3 cylinders?,The query retrieves the make and highest horsepower of a car with 3 cylinders from the CAR_NAMES and CARS_DATA tables,ok,The query retrieves the make and horsepower of the car with the highest horsepower among those with 3 cylinders.,ok,This SQL query retrieves the horsepower and make of the car with 3 cylinders and the highest horsepower.,ok,This query retrieves the horsepower and make of the car with the highest horsepower among those that have 3 cylinders.,ok,This query retrieves the horsepower and make of the car with the most horsepower among 3-cylinder vehicles,ok
SELECT name FROM visitor WHERE Level_of_membership  >  4 ORDER BY Level_of_membership DESC,"Find the names of the visitors whose membership level is higher than 4, and order the results by the level from high to low.","The query lists the names of visitors with a membership level greater than 4, ordered by descending membership level from the visitor table",ok,"The query retrieves the names of visitors with a membership level greater than 4, ordered by membership level in descending order.",ok,"This SQL query retrieves the names of visitors with a level of membership greater than 4, ordered by level of membership in descending order.",ok,"This query retrieves the names of visitors whose level of membership is greater than 4, ordered by the level of membership in descending order.",ok,"Retrieves the names of visitors with a membership level greater than 4, sorted by membership level in descending order.",ok
SELECT max(age) FROM Dogs,What is the age of the oldest dog?,The query retrieves the maximum age among all dogs in the Dogs table,ok,The query retrieves the maximum age of dogs from the Dogs table.,ok,This SQL query retrieves the maximum age of dogs.,ok,This query retrieves the maximum age of dogs from the `Dogs` table.,ok,Finds the maximum age among all dogs in the Dogs table.,ok
SELECT name FROM museum WHERE Museum_ID NOT IN (SELECT museum_id FROM visit),What is the name of the museum that had no visitor yet?,"The query lists the names of museums that have not been visited, as indicated by their absence from the visit table",ok,The query retrieves the names of museums that have not been visited.,ok,This SQL query retrieves the names of museums that have not been visited.,ok,"This query retrieves the names of museums that have not been visited, based on the `visit` table. In other words, it lists museums whose `Museum_ID` does not appear in the `visit` table.",ok,Retrieves the names of museums that have never been visited.,ok
"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;",Which country has the most of TV Channels? List the country and number of TV Channels it has.,The query identifies the country with the most TV channels listed in the TV_Channel table,ok,The query retrieves the country with the most TV channels.,ok,This SQL query retrieves the country with the most TV channels.,ok,This query finds the country with the most TV channels.,ok,Finds the country with the highest number of TV channels.,ok
"SELECT DISTINCT T1.first_name ,  T3.treatment_type_description FROM professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id JOIN Treatment_types AS T3 ON T2.treatment_type_code  =  T3.treatment_type_code",List the first name of all the professionals along with the description of the treatment they have done.,"The query retrieves distinct first names of professionals and their associated treatment descriptions by joining the professionals, Treatments, and Treatment_types tables",ok,The query retrieves distinct first names of professionals and their associated treatment type descriptions.,ok,This SQL query retrieves distinct first names of professionals and the treatment type descriptions they offer.,ok,This query retrieves the distinct first names of professionals and the descriptions of the treatment types they provide.,ok,Counts the number of distinct continents where Chinese is spoken.,ok
"SELECT COUNT( DISTINCT Continent) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Chinese""",What is the number of distinct continents where Chinese is spoken?,"The query counts the distinct continents where Chinese is spoken, using a join between the country and countrylanguage tables",ok,The query counts the number of distinct continents where Chinese is spoken as a language.,ok,This SQL query counts the number of distinct continents where Chinese is an official language.,ok,This query counts the number of distinct continents where Chinese is spoken as an official language.,ok,This query counts the number of different continents where Chinese is spoken.,ok
SELECT Nationality FROM people GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1,What is the most common nationality of people?,The query identifies the most common nationality among people in the people table,ok,The query retrieves the most common nationality from the `people` table.,ok,This SQL query retrieves the nationality with the most people.,ok,This query retrieves the nationality with the highest number of people.,ok,This query finds the nationality with the highest occurrence in the people table,ok
"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",What is the document name and template id for document with description with the letter 'w' in it?,"The query retrieves document names and template IDs for descriptions containing ""w""",ok,"The query retrieves the `document_name` and `template_id` from the `Documents` table for all records where the `Document_Description` contains the letter ""w"".",ok,"This SQL query retrieves the document names and template IDs of documents whose description contains the letter ""w"".",ok,This query retrieves the `document_name` and `template_id` of documents whose `Document_Description` contains the letter 'w'.,ok,"Retrieves the document name and template ID for all documents whose description contains the letter ""w"".",ok
SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1,List the record company shared by the most number of orchestras.,The query identifies the most common record company in the orchestra table,ok,The query returns the most frequent record company in the `orchestra` table.,ok,This SQL query retrieves the Record Company with the most records in the orchestra database.,ok,This query retrieves the record company with the highest number of orchestras.,ok,This query identifies the record company with the most orchestras associated with it.,ok
SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),Find the name of the shops that do not hire any employee.,The query retrieves the names of shops that have no associated records in the hiring table,ok,The query retrieves the names of shops from the `shop` table that do not have a corresponding entry in the `hiring` table.,ok,This SQL query retrieves the names of shops that do not have any hiring records in the database.,ok,"This query retrieves the names of shops that have not hired anyone, based on the `hiring` table. In other words, it lists shops whose `shop_id` does not appear in the `hiring` table.",ok,Retrieves the names of shops that have never hired anyone.,ok
"SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","What is the document id, template id and description for document named ""Robbin CV""?","The query retrieves the document ID, template ID, and description for documents named ""Robbin CV"" from the Documents table",ok,"The query retrieves the `document_id`, `template_id`, and `Document_Description` from the `Documents` table for the document named ""Robbin CV"".",ok,"This SQL query retrieves the document_id, template_id, and Document_Description for the document named ""Robbin CV"" from the Documents table.",ok,"This query retrieves the `document_id`, `template_id`, and `Document_Description` of the document named ""Robbin CV"" from the `Documents` table.",ok,"Retrieves the document ID, template ID, and document description for the document named ""Robbin CV"".",ok
SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,Show all template type codes with less than three templates.,The query retrieves template_type_code values from the Templates table that appear fewer than three times,ok,The query returns `template_type_code` values that occur fewer than three times in the `Templates` table.,ok,This SQL query retrieves unique template type codes with fewer than 3 occurrences.,ok,This query retrieves the `template_type_code` values from the `Templates` table where the count of each `template_type_code` is less than 3.,ok,This query retrieves the template type codes that have fewer than 3 templates associated with them.,ok
SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.grade  >  5 GROUP BY T1.student_id HAVING count(*)  >=  2,Show the names of students who have a grade higher than 5 and have at least 2 friends.,"The query retrieves the names of high school students in grades above 5 who have at least two friends, using data from the Friend and Highschooler tables",ok,The query returns names of high school students in grades above 5 who have at least two friends.,ok,This SQL query retrieves the names of friends who have at least 2 friends in a higher grade (grade > 5).,ok,This query retrieves the names of high school students who have at least two friends and are in a grade higher than 5.,ok,This query retrieves the names of students who have a grade higher than 5 and at least two friends,ok
"SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'Lettice' INTERSECT SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'HMS Atalanta'",List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',The query retrieves the names and dates of battles where both the ships 'Lettice' and 'HMS Atalanta' were lost,ok,"The query finds battles that both the ship ""Lettice"" and the ship ""HMS Atalanta"" lost, returning the battle names and dates.",ok,This SQL query retrieves the names and dates of battles where both the HMS Lettice and HMS Atalanta were lost.,ok,"This query retrieves the names and dates of battles where both the ships ""Lettice"" and ""HMS Atalanta"" were lost.",ok,"This query aims to find battles where both the ships ""Lettice"" and ""HMS Atalanta"" were lost",ok
"SELECT section_name ,  section_description FROM Sections",What are the names and descriptions of all the sections?,The query retrieves the names and descriptions of sections from the Sections table,ok,The query retrieves the `section_name` and `section_description` from the `Sections` table.,ok,This SQL query retrieves the section_name and section_description from the Sections table.,ok,This query retrieves the `section_name` and `section_description` from the `Sections` table.,ok,Retrieves the section name and section description for all records in the Sections table.,ok
SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,Show countries where a singer above age 40 and a singer below 30 are from.,The query identifies countries with singers both over 40 and under 30 years old,ok,The query finds countries where both singers over 40 and singers under 30 are present.,ok,This SQL query retrieves the countries where there are singers older than 40 and younger than 30.,ok,This query returns an empty set because no singer can be both older than 40 and younger than 30.,ok,Finds countries where singers are both older than 40 and younger than 30 (which is impossible).,ok
"SELECT name ,  age ,  weight FROM Dogs WHERE abandoned_yn  =  1","List the dog name, age and weight of the dogs who have been abandoned? 1 stands for yes, and 0 stands for no.","The query retrieves the names, ages, and weights of abandoned dogs from the Dogs table",ok,"The query retrieves the `name`, `age`, and `weight` of dogs that have been abandoned.",ok,"This SQL query retrieves the names, ages, and weights of dogs that have been abandoned (abandoned_yn = 1).",ok,"This query retrieves the name, age, and weight of dogs that have been abandoned.",ok,"Retrieves the name, age, and weight of all abandoned dogs.",ok
SELECT count(*) FROM Documents,How many documents do we have?,The query counts the total number of entries in the Documents table,ok,The query returns the total number of records in the `Documents` table.,ok,This SQL query counts the total number of documents in the database.,ok,This query counts the total number of documents in the `Documents` table.,ok,This SQL query counts the total number of rows in the 'Documents' table.,ok
SELECT count(*) FROM battle WHERE id NOT IN ( SELECT lost_in_battle FROM ship WHERE tonnage  =  '225' );,How many battles did not lose any ship with tonnage '225'?,The query counts the battles where no ships with a tonnage of '225' were lost,ok,The query counts the number of battles where the `id` does not match any `lost_in_battle` for ships with a `tonnage` of '225'.,ok,This SQL query counts the number of battles where the ship's tonnage is not 225.,ok,This query counts the number of battles where no ships with a tonnage of '225' were lost.,ok,Counts the number of battles where no ship with a tonnage of 225 was lost.,ok
SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,Show ids for all templates not used by any document.,The query retrieves template_id values from the Templates table that are not used in the Documents table,ok,The query retrieves `template_id` values that are in the `Templates` table but not in the `Documents` table.,ok,This SQL query retrieves template IDs that are present in the Templates table but not in the Documents table.,ok,This query retrieves the `template_id` values that are present in the `Templates` table but not in the `Documents` table.,ok,Retrieves template IDs that exist in the 'Templates' table but not in the 'Documents' table.,ok
"SELECT Name FROM country WHERE Continent  =  ""Africa""  AND population  <  (SELECT min(population) FROM country WHERE Continent  =  ""Asia"")",Which African countries have a smaller population than that of any country in Asia?,The query retrieves the names of African countries with populations smaller than the least populous country in Asia,ok,The query returns the names of countries in Africa with a population smaller than the smallest population of any country in Asia.,ok,This SQL query retrieves the names of countries in Africa with a population less than the minimum population of countries in Asia.,ok,This query retrieves the names of African countries with a population less than the minimum population of any Asian country.,ok,This query finds the names of African countries with a population less than the smallest population in Asia.,ok
SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33,Show the name of teachers aged either 32 or 33?,The query retrieves the names of teachers who are either 32 or 33 years old from the teacher table,ok,The query retrieves the names of teachers who are either 32 or 33 years old.,ok,This SQL query retrieves the names of teachers who are either 32 or 33 years old.,ok,This query retrieves the names of teachers who are either 32 or 33 years old.,ok,Retrieve the names of all teachers who are 32 or 33 years old.,ok
"SELECT Age ,  Hometown FROM teacher",What are the age and hometown of teachers?,The query retrieves the age and hometown of each teacher from the teacher table,ok,The query retrieves the `Age` and `Hometown` of all teachers.,ok,This SQL query retrieves the Age and Hometown of teachers.,ok,This query retrieves the `Age` and `Hometown` of teachers from the `teacher` table.,ok,Retrieves the age and hometown for all teachers.,ok
"SELECT avg(ranking) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",Find the average ranking for each player and their first name.,"The query calculates the average ranking for each player, grouped by their first name, by joining the players and rankings tables",ok,The query calculates the average `ranking` for each `first_name` of players.,ok,This SQL query calculates the average ranking for each player and returns the player's first name and average ranking.,ok,"the query retrieves the average ranking and the first name of players, grouped by the first name.",ok,"Calculates the average ranking for each player, grouped by their first name.",ok
SELECT count(*) FROM area_code_state,How many states are there?,The query counts the total number of entries in the area_code_state table,ok,The query returns the total number of records in the `area_code_state` table.,ok,This SQL query counts the total number of rows in the area_code_state table.,ok,This query counts the total number of records in the `area_code_state` table.,ok,Counts the total number of records in the 'area_code_state' table.,ok
"SELECT avg(num_of_ticket) ,  max(num_of_ticket) FROM visit",What are the average and maximum number of tickets bought in all visits?,This query calculates the average and the maximum values of num_of_ticket from the visit table,ok,The query calculates the average and maximum values of `num_of_ticket` from the `visit` table.,ok,This SQL query calculates the average and maximum number of tickets for each visit.,ok,This query calculates the average and maximum values of the `num_of_ticket` column from the `visit` table.,ok,Calculates the average and maximum number of tickets per visit.,ok
"SELECT T2.department_name ,  T1.department_id FROM Degree_Programs AS T1 JOIN Departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id ORDER BY count(*) DESC LIMIT 1",Which department offers the most number of degrees? List department name and id.,"The query identifies the department with the most degree programs, retrieving the department name and ID by joining the Degree_Programs and Departments tables",ok,The query finds the department with the most degree programs.,ok,This SQL query retrieves the department name and department ID of the department with the most degree programs.,ok,This query finds the department with the most degree programs.,ok,This query identifies the department with the highest number of degree programs.,ok
"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";","List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"".",The query retrieves the titles of cartoons directed by either Ben Jones or Brandon Vietti from the Cartoon table,ok,The query retrieves the titles of cartoons directed by either Ben Jones or Brandon Vietti.,ok,This SQL query retrieves the titles of cartoons directed by either Ben Jones or Brandon Vietti.,ok,This query retrieves the titles of cartoons directed by either Ben Jones or Brandon Vietti.,ok,Retrieves the titles of all cartoons directed by either Ben Jones or Brandon Vietti.,ok
SELECT Record_Company FROM orchestra ORDER BY Year_of_Founded DESC,What are the record companies of orchestras in descending order of years in which they were founded?,"The query lists record companies associated with orchestras, ordered by the most recently founded first, from the orchestra table",ok,"The query retrieves `Record_Company` names from the `orchestra` table, ordered by `Year_of_Founded` in descending order.",ok,"This SQL query retrieves the record companies from the orchestra database, ordered by the year they were founded in descending order",ok,"This query retrieves the record companies from the `orchestra` table, ordered by the year of founding in descending order.",ok,This query will retrieve the record companies of all orchestras sorted by their founding year in descending order,ok
SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,"The query retrieves distinct car models with a weight under 3500 that are not made by 'Ford Motor Company', by joining multiple tables including MODEL_LIST, CAR_NAMES, CARS_DATA, and CAR_MAKERS",ok,"The query retrieves distinct car models with a weight less than 3500, excluding those from 'Ford Motor Company'.",ok,This SQL query retrieves the distinct model names of cars that weigh less than 3500 kg and are not made by Ford Motor Company.,ok,This query retrieves distinct car models with a weight under 3500 and not made by 'Ford Motor Company'.,ok,This query retrieves distinct car models excluding Fords with a weight under 3500 pounds.,ok
SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) LIMIT 1,What is the code of airport that has fewest number of flights?,"The query identifies the airport code with the fewest flights, either as a destination or source, from the AIRPORTS and FLIGHTS tables",ok,"The query finds the airport code with the fewest flights, either as a source or destination.",ok,This SQL query retrieves the airport code of the airport that is the destination or source of the most flights.,ok,This query finds the airport code with the most flights.,ok,Finds the airport code with the highest number of flights.,ok
"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with highest average attendance?,The query retrieves the name and capacity of the stadium with the highest average attendance from the stadium table,ok,The query retrieves the `name` and `capacity` of the stadium with the highest average capacity.,ok,This SQL query retrieves the name and capacity of the stadium with the highest average attendance (average).,ok,This query retrieves the name and capacity of the stadium with the highest average.,ok,Retrieves the name and capacity of the stadium with the highest average.,ok
SELECT count(*) FROM Other_Available_Features,How many available features are there in total?,The query counts the total number of entries in the Other_Available_Features table,ok,The query returns the total number of records in the `Other_Available_Features` table.,ok,"This SQL query counts the total number of rows in the ""Other_Available_Features"" table.",ok,This query counts the total number of records in the `Other_Available_Features` table.,ok,"This query counts the total number of rows in the table ""Other_Available_Features"".",ok
"SELECT Name ,  Population ,  LifeExpectancy FROM country WHERE Continent  =  ""Asia"" ORDER BY SurfaceArea DESC LIMIT 1","Find the name, population and expected life length of asian country with the largest area?","The query retrieves the name, population, and life expectancy of the largest country in Asia by surface area from the country table",ok,"The query retrieves the `Name`, `Population`, and `LifeExpectancy` of the largest country in Asia by surface area.",ok,"This SQL query retrieves the name, population, and life expectancy of the country in Asia with the largest surface area.",ok,"This query retrieves the name, population, and life expectancy of the Asian country with the largest surface area.",ok,"This query retrieves the name, population, and life expectancy of the Asian country with the largest surface area.",ok
"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""","List all airline names and their abbreviations in ""USA"".",The query retrieves the names and abbreviations of airlines based in the USA from the AIRLINES table,ok,The query retrieves the `Airline` and `Abbreviation` for airlines based in the USA.,ok,"This SQL query retrieves the ""Airline"" and ""Abbreviation"" columns from the ""AIRLINES"" table where the ""Country"" is equal to ""USA"".",ok,This query retrieves the airline names and their abbreviations for airlines based in the USA.,ok,This query lists the airline name and abbreviation for all airlines based in the USA.,ok
"SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",Find the total ranking points for each player and their first name.,"The query calculates the total ranking points for each player, grouped by their first name, by joining the players and rankings tables",ok,"The query calculates the total `ranking_points` for each player, grouped by `first_name`.",ok,"This SQL query sums ""ranking_points"" by player ""first_name"".",ok,This query calculates the total ranking points for each player's first name by joining the `players` and `rankings` tables on `player_id`.,ok,"This query calculates the total ranking points for each player, grouping the results by the player's first name.",ok
"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",Show the stadium name and the number of concerts in each stadium.,"The query lists stadiums and the number of concerts held at each, by joining the concert and stadium tables on the stadium ID",ok,The query retrieves the `name` of each stadium and the count of concerts held at each stadium.,ok,This SQL query counts the number of concerts at each stadium.,ok,This query counts the number of concerts held at each stadium.,ok,Counts concerts per stadium.,ok
"SELECT document_id ,  document_name ,  document_description FROM Documents","List document IDs, document names, and document descriptions for all documents.","The query retrieves the document ID, name, and description for each entry in the Documents table",ok,"The query retrieves the `document_id`, `document_name`, and `document_description` from the `Documents` table.",ok,"This SQL query retrieves the ""document_id"", ""document_name"", and ""document_description"" columns from the ""Documents"" table.",ok,"This query retrieves the document ID, name, and description from the `Documents` table.",ok,"Retrieves document ID, name, and description from the Documents table.",ok
SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,Show names for all stadiums except for stadiums having a concert in year 2014.,The query retrieves the names of stadiums that did not host a concert in the year 2014,ok,The query retrieves the names of stadiums that did not host any concerts in 2014.,ok,This SQL query retrieves the names of stadiums that do not have a concert in the year 2014.,ok,This query retrieves the names of stadiums that did not host a concert in 2014.,ok,This query finds all stadiums that did not host any concerts in 2014.,ok
SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,List the names of all winners who played in both 2013 and 2016.,The query identifies winners who won matches in both 2013 and 2016,ok,The query finds the winners who won matches both in 2013 and 2016.,ok,This SQL query retrieves the names of teams that won a match in both 2013 and 2016.,ok,This query retrieves the names of winners who won matches in both 2013 and 2016.,ok,This query finds winners who won matches in both 2013 and 2016.,ok
"SELECT Name FROM people WHERE Nationality != ""Russia""","Show names of people whose nationality is not ""Russia"".",The query retrieves the names of individuals whose nationality is not Russian from the people table,ok,The query retrieves the names of people who are not of Russian nationality.,ok,This SQL query retrieves the names of people who are not from Russia.,ok,This query retrieves the names of people whose nationality is not Russia.,ok,Retrieves the names of all people who are not Russian citizens.,ok
SELECT name FROM employee ORDER BY age,Sort employee names by their age in ascending order.,"The query lists the names of employees, ordered by their age, from the employee table",ok,"The query retrieves the names of employees, ordered by age.",ok,This SQL query retrieves the names of employees in order of their age.,ok,"This query retrieves the names of employees, ordered by age.",ok,Lists employee names sorted by age in ascending order.,ok
SELECT count(DISTINCT Nationality) FROM conductor,How many different nationalities do conductors have?,The query counts the number of unique nationalities among conductors in the conductor table,ok,The query counts the number of distinct nationalities in the `conductor` table.,ok,This SQL query counts the number of unique nationalities of conductors.,ok,This query counts the number of distinct nationalities among conductors.,ok,Counts the number of different nationalities among conductors.,ok
SELECT DISTINCT T1.Year FROM CARS_DATA AS T1 WHERE T1.Weight  >  3000 AND T1.weight  <  4000;,In which years cars were produced weighing no less than 3000 and no more than 4000?,The query retrieves distinct years of cars that weigh between 3000 and 4000 units from the CARS_DATA table,ok,The query retrieves distinct years for cars with a weight between 3000 and 4000.,ok,This SQL query retrieves the distinct years of cars with a weight between 3000 and 4000.,ok,This query retrieves the distinct years of cars with weights between 3000 and 4000.,ok,Lists unique years where cars had a weight between 3000 and 4000.,ok
"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""",Find the package choice and series name of the TV channel that has high definition TV.,The query retrieves package options and series names from the TV_Channel table for channels that offer high-definition TV,ok,"The query retrieves `package_option` and `series_name` from the `TV_Channel` table where `hight_definition_TV` is ""yes"".",ok,"This SQL query retrieves the ""package_option"" and ""series_name"" from the ""TV_Channel"" table where the ""hight_definition_TV"" is ""yes"".",ok,This query retrieves the package options and series names from TV channels that offer high-definition TV.,ok,Retrieves package options and series names for all TV channels offering high-definition TV.,ok
SELECT name FROM Highschooler EXCEPT SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id,Show names of all high school students who do not have any friends.,The query retrieves the names of high school students who are not listed as friends in the Friend table,ok,The query retrieves the names of high school students who are not listed as friends.,ok,This SQL query retrieves the names of high schoolers who do not have any friends.,ok,This query retrieves the names of high schoolers who do not have any friends.,ok,The query retrieves names of high schoolers who are not friends with any other high schooler in the database,ok
SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1,What is the name of the singer with the largest net worth?,The query retrieves the name of the singer with the highest net worth from the singer table,ok,The query retrieves the name of the singer with the highest net worth.,ok,"This SQL query retrieves the name of the singer with the highest net worth, in descending order (i.e., the richest singer), and returns only the top result.",ok,This query retrieves the name of the singer with the highest net worth.,ok,Retrieves the name of the singer with the highest net worth in millions.,ok
"SELECT first_name ,  last_name FROM players WHERE hand  =  'L' ORDER BY birth_date",List the first and last name of all players who are left / L hand in the order of birth date.,"The query lists the first and last names of left-handed players, ordered by their birth dates, from the players table",ok,"The query retrieves the `first_name` and `last_name` of players with a left hand, ordered by birth date.",ok,"This SQL query retrieves the first name and last name of left-handed players, sorted by their birth date.",ok,"This query retrieves the first and last names of left-handed players, ordered by birth date.",ok,Lists the first and last names of left-handed players sorted by their birth date.,ok
